title,listing_url,address,price,type,bedrooms,bathrooms,floor_area,telephone,latitude,longitude
Freehold Luxurious 4 BR Villa in Diyar  Muharraq,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-308695.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","212,000 BHD",Villa,4,4,254 / sqm,+97338000002,26.311422,50.643066
Freehold Luxury 4BR Villa in Diyar Al Muharraq,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-320344.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","160,500 BHD",Villa,4,4,189 / sqm,+97338000002,26.311422,50.643066
Tenanted 2BR flat sale in Tala Island,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-335103.html," Tala Island, Amwaj Islands, Muharraq Governorate","95,000 BHD",Apartment,2,2,163 / sqm,+97333111577,26.300025,50.663164
Magnificent Villa with Panoramic Sea View,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-335257.html," Durrat Al Bahrain, Southern Governorate","290,000 BHD",Villa,5,6,"1,000 / sqm",+97333184488,25.833926,50.613853
Beautiful 3 bed + maid room amazing duplex flat,https://www.propertyfinder.bh/en/buy/duplex-for-sale-capital-governorate-reef-island-335100.html," Reef Island, Capital Governorate","215,000 BHD",Duplex,3,4,230 / sqm,+97366937485,26.241751,50.566394
Higher floor pool view apartment for sale,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-335304.html," Al Juffair, Capital Governorate","55,000 BHD",Apartment,1,2,86 / sqm,+97333184488,26.211111,50.601111
Apartment only for GCC and title deed is available,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-335239.html," Hidd, Muharraq Governorate","70,000 BHD",Apartment,3,3,164 / sqm,+97333453988,26.212634,50.674188
Brand new 4 Beds in Saar Saraya w Garden,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-335021.html," Saar, Northern Governorate","230,000 BHD",Villa,4,5,588 / sqm,+97337277078,26.191642,50.487574
Cozy one bedroom canal view  priced to sell,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-334434.html," The Treasure, Dilmunia Island, Muharraq Governorate","56,500 BHD",Apartment,1,2,100 / sqm,+97339331159,26.272868,50.67289
Brand new 4 bed beach villa with private pool,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-334460.html," Amwaj Marina, Amwaj Islands, Muharraq Governorate","480,000 BHD",Villa,4,6,590 / sqm,+97337385353,26.293059,50.65944
Luxury Apartment Rented by US Navy    .,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-334500.html," Al Juffair, Capital Governorate","130,000 BHD",Apartment,2,3,156 / sqm,+97339465789,26.211111,50.601111
Freehold Luxury 4BR Villa in Diyar  Al Muharraq,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-320195.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","163,500 BHD",Villa,4,4,189 / sqm,+97338000002,26.311422,50.643066
Fully Furnished 1.5 Bedroom For Sale in Seef,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-269997.html," Seef, Capital Governorate","104,413 BHD",Apartment,2,2,94 / sqm,+97377777795,26.24,50.537
Great Deal for this Reef Island apartment call now,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-334302.html," Reef Island, Capital Governorate","135,000 BHD",Apartment,3,5,175 / sqm,+97333216444,26.241751,50.566394
Brand New Super Waterfront Villa + Private Pool,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-334391.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","495,000 BHD",Villa,7,7+,920 / sqm,+97332083778,26.29303,50.66474
Luxurious apartment with an outstanding interior,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-333981.html," Seef, Capital Governorate","78,000 BHD",Apartment,1,1,70 / sqm,+97334028884,26.24,50.537
Fully renovated sea view  2 bedroom for sale,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-334949.html," Tala Island, Amwaj Islands, Muharraq Governorate","70,000 BHD",Apartment,2,2,115 / sqm,+97337385353,26.300025,50.663164
Perfect modern contemporary brand-new studio,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-335300.html," Hidd, Muharraq Governorate","35,000 BHD",Apartment,studio,1,40 / sqm,+97333184488,26.212634,50.674188
Deluxe finishing apartments for sale in Al Hidd,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-334825.html," Hidd, Muharraq Governorate","64,999 BHD",Apartment,3,5,160 / sqm,+97337778519,26.212634,50.674188
Luxury villa for sale in Saar area.,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-334762.html," Saar, Northern Governorate","360,000 BHD",Villa,5,7,925 / sqm,+97339655161,26.191642,50.487574
Private Residential Land (RA) in Bu Ghazal,https://www.propertyfinder.bh/en/buy/land-for-sale-capital-governorate-manama-bu-ghazal-332264.html," Bu Ghazal, Manama, Capital Governorate","300,746 BHD",Land,N/A,N/A,698 / sqm,N/A,N/A,N/A
Flat For Sale in Juffair 63000 BD -AG782,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-332200.html," Al Juffair, Capital Governorate","63,000 BHD",Apartment,2,2,105 / sqm,N/A,N/A,N/A
Flat For Sale in Juffair 75000 BD -AG779,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-332201.html," Al Juffair, Capital Governorate","75,000 BHD",Apartment,3,3,186 / sqm,N/A,N/A,N/A
Modern and Luxurious 2 Bedroom + balcony,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-330366.html," Al Juffair, Capital Governorate","93,000 BHD",Apartment,2,3,120 / sqm,N/A,N/A,N/A
Attractive Residential Land For Sale,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-bu-quwah-saraya-2-334488.html," Saraya 2, Bu Quwah, Northern Governorate","188,000 BHD",Land,N/A,N/A,665 / sqm,N/A,N/A,N/A
Luxurious Studio 37sqm+balcony Furnished,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-330365.html," Al Juffair, Capital Governorate","49,500 BHD",Apartment,studio,1,37 / sqm,+97366720802,26.211111,50.601111
Brand new Quality Apartment In  new Hidd !,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-334954.html," Hidd, Muharraq Governorate","90,000 BHD",Apartment,2,3,104 / sqm,+97366699914,26.212634,50.674188
- Luxury villa for sale near Saar Mall-,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-269084.html," Saar, Northern Governorate","320,000 BHD",Villa,5,6,515 / sqm,+97333944584,26.191642,50.487574
Amazing Sea View Apartments In  Delmonia,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-essence-of-dilmunia-277977.html," Essence of Dilmunia, Dilmunia Island, Muharraq Governorate","98,000 BHD",Apartment,2,3,120 / sqm,+97338330555,26.272868,50.67289
Luxurious Oasis Estate 5 Bedroom @ Riffa Views,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-282775.html," Riffa Views, Riffa, Southern Governorate","285,000 BHD",Villa,5,6,640 / sqm,+97339999159,26.097334,50.567365
Three Bedroom town house for sale in  RV,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-229332.html," Riffa Views, Riffa, Southern Governorate","175,000 BHD",Villa,3,3,274 / sqm,+97339749555,26.097334,50.567365
Opulent 5BR Signature Villa Now For Sale,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-218426.html," Riffa Views, Riffa, Southern Governorate","600,000 BHD",Villa,5,6,"1,300 / sqm",+97339749555,26.097334,50.567365
"Stunning,Elegant 1BR For Sale in Juffair!",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-308129.html," Al Juffair, Capital Governorate","54,000 BHD",Apartment,1,2,70 / sqm,+97332200374,26.211111,50.601111
"Sea view,Pool,Gym Studio FF  for sale",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-313487.html," Sanabis, Manama, Capital Governorate","36,000 BHD",Apartment,studio,1,43 / sqm,+97332200042,26.226559,50.54591
Spacious apartment for sale city-sea view,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-314040.html," Seef, Capital Governorate","95,000 BHD",Apartment,2,2,133 / sqm,+97336892015,26.24,50.537
*hot deal* Brand New studio w/Amazing Sea View*,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-299735.html," Hidd, Muharraq Governorate","37,500 BHD",Apartment,studio,1,43 / sqm,+97332200330,26.212634,50.674188
Amazing investment opportunity,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-292616.html," Al Juffair, Capital Governorate","48,000 BHD",Apartment,1,2,75 / sqm,+97333440279,26.211111,50.601111
"Urgent sale! B.New 1BHK water bay,water taxi",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-298627.html," Bahrain Bay, Capital Governorate","82,000 BHD",Apartment,1,2,71 / sqm,+97332200330,26.249585,50.580361
Brand New Residential villa on a front street,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-al-maqsha-320276.html," Al Maqsha, Northern Governorate","125,000 BHD",Villa,4,5,160 / sqm,+97336943000,26.221059,50.516253
Brand new apartment in Tubli bay with balcony ..,https://www.propertyfinder.bh/en/buy/apartment-for-sale-central-governorate-tubli-320956.html," Tubli, Central Governorate","56,000 BHD",Apartment,3,2,123 / sqm,+97332213115,26.188889,50.55
Brand New 3 BR Apartment + Maid's Room,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-306546.html," Hidd, Muharraq Governorate","78,000 BHD",Apartment,3,5,160 / sqm,+97336625301,26.212634,50.674188
Building for sale in Riffa Alhunayniyah area ..,https://www.propertyfinder.bh/en/buy/whole-building-for-sale-southern-governorate-riffa-riffa-al-sharqi-325227.html," Riffa Al Sharqi, Riffa, Southern Governorate","128,000 BHD",Whole Building,N/A,7+,201 / sqm,+97338777990,26.116217,50.572118
!!فلا فاخرة بتشطيب راقي ، قريبة من البحر,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-karrana-305924.html," Karrana, Northern Governorate","115,000 BHD",Villa,3,5,240 / sqm,+97338866603,26.230529,50.510877
European Style 4.5 Bedroom Villa in Saar,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-296786.html," Saar, Northern Governorate","750,000 BHD",Villa,4,3,"1,712 / sqm",+97332166900,26.191642,50.487574
Luxury villa for sale in great location in Saar,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-299080.html," Saar, Northern Governorate","375,000 BHD",Villa,5,6,560 / sqm,+97333944584,26.191642,50.487574
Luxury villa facing 2 roads in a quiet area,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-hamad-town-268442.html," Hamad Town, Northern Governorate","230,000 BHD",Villa,4,6,700 / sqm,N/A,N/A,N/A
1br sea view apartment for sale in Durrat Marina,https://www.propertyfinder.bh/en/buy/apartment-for-sale-southern-governorate-durrat-marina-281889.html," Durrat Marina, Southern Governorate","57,500 BHD",Apartment,1,2,84 / sqm,N/A,N/A,N/A
Perfect Family Atmosphere in this Amazing Villa,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-277668.html," Saar, Northern Governorate","280,000 BHD",Villa,7,6,461 / sqm,N/A,N/A,N/A
Water Front View & Inspirational Designs,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-285650.html," Al Naseem, Diyar Al Muharraq, Muharraq Governorate","199,000 BHD",Villa,3,4,257 / sqm,N/A,N/A,N/A
Garden View 3BR Villa @ Durrat AlBahrain,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-277523.html," Durrat Al Bahrain, Southern Governorate","155,000 BHD",Villa,3,4,550 / sqm,N/A,N/A,N/A
Attractive Residential Land For Sale,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-bu-quwah-saraya-2-334488.html," Saraya 2, Bu Quwah, Northern Governorate","188,000 BHD",Land,N/A,N/A,665 / sqm,+97334523352,26.191854,50.509177
High floor canal view apartment for sale,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-334436.html," The Treasure, Dilmunia Island, Muharraq Governorate","58,000 BHD",Apartment,1,2,79 / sqm,+97339331159,26.272868,50.67289
Durrat  New 800M2 Open sea with Jetty Dock,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-331682.html," Durrat Al Bahrain, Southern Governorate","320,000 BHD",Villa,5,6,800 / sqm,+97332191004,25.833926,50.613853
Hot Deal ! Pay 20% & own a seafront Luxury Apt,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-330100.html," Reef Island, Capital Governorate","67,500 BHD",Apartment,1,2,85 / sqm,+97333506000,26.241751,50.566394
Quick Sale| Fontana gardens| 20th Floor| Seaview,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-331435.html," Al Juffair, Capital Governorate","107,000 BHD",Apartment,2,4,179 / sqm,+97336635611,26.211111,50.601111
Freehold Villa with Spacious Living Room,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-268759.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","132,500 BHD",Villa,2,3,162 / sqm,+97338000002,26.311422,50.643066
3BR Villa for a Perfect Home in Diyar  Al Muharraq,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-320263.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","151,000 BHD",Villa,3,3,187 / sqm,+97338000002,26.311422,50.643066
Luxurious 2BR Contemporary Style Villa at  Alsidra,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-320296.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","132,500 BHD",Villa,2,3,162 / sqm,+97338000002,26.311422,50.643066
Flat For Sale in Hidd 49000 BD -AG744,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-334217.html," Hidd, Muharraq Governorate","49,000 BHD",Apartment,3,3,120 / sqm,+97334485245,26.212634,50.674188
Panoramic sea view villa with excellent landscape,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-334286.html," Durrat Al Bahrain, Southern Governorate","340,000 BHD",Villa,5,7,"1,000 / sqm",+97333216444,25.833926,50.613853
Well-maintained one bedroom apartment at Juffair,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-334284.html," Al Juffair, Capital Governorate","53,000 BHD",Apartment,1,1,57 / sqm,+97333216444,26.211111,50.601111
"Brand new 3 Beds villa, in Saar Shakhora",https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-329044.html," Saar, Northern Governorate","120,000 BHD",Villa,3,4,300 / sqm,+97337277078,26.191642,50.487574
"Brand new Sea view 3 Bedroom,,,new Hidd",https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-329254.html," Hidd, Muharraq Governorate","65,000 BHD",Apartment,3,4,170 / sqm,+97337277078,26.212634,50.674188
Brand New Villa. Ideal for Social Loan!,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-328481.html," Saar, Northern Governorate","120,000 BHD",Villa,4,5,165 / sqm,+97333620218,26.191642,50.487574
Luxurious Sea + Harbor View With Easy Payment,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-334214.html," Seef, Capital Governorate","72,000 BHD",Apartment,1,2,81 / sqm,+97336111906,26.24,50.537
Brand new 1 bedroom ultra-modern sea view flat !,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-boulevard-333962.html," Marassi Boulevard, Diyar Al Muharraq, Muharraq Governorate","82,888 BHD",Apartment,1,1,80 / sqm,+97338000132,26.303447,50.646128
Luxury Villa 4sale in Saraya2 (bu quwah),https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-bu-quwah-saraya-2-334046.html," Saraya 2, Bu Quwah, Northern Governorate","270,000 BHD",Villa,5,6,438 / sqm,+97338185909,26.191854,50.509177
Villa for  sale  in  Saraya 2 (Bu Quwah),https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-bu-quwah-saraya-2-334050.html," Saraya 2, Bu Quwah, Northern Governorate","125,000 BHD",Villa,4,5,156 / sqm,+97338185909,26.191854,50.509177
Elegant Apartment compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/apartment-for-sale-central-governorate-isa-town-328344.html," Isa Town, Central Governorate","74,000 BHD",Apartment,3,4,172 / sqm,+97338868838,26.165296,50.552181
Perfect Family Home or Investment Opportunity !,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-326858.html," Seef, Capital Governorate","109,000 BHD",Apartment,2,3,130 / sqm,+97338389770,26.24,50.537
"Amazing Building in Juffair,Brand New,High Floor",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-328251.html," Al Juffair, Capital Governorate","69,000 BHD",Apartment,1,2,79 / sqm,N/A,N/A,N/A
"""New Launch Reef"" 2 Bed+Maids Rm+Balcony",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-326762.html," Reef Island, Capital Governorate",1 BHD,Apartment,2,2,130 / sqm,N/A,N/A,N/A
MODERN LUXURY APARTMENT AT PRIME LOCATION !,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-326861.html," Seef, Capital Governorate","77,500 BHD",Apartment,1,2,89 / sqm,N/A,N/A,N/A
Best parks villa in riffa views,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-328332.html," Riffa Views, Riffa, Southern Governorate","270,000 BHD",Villa,3,5,796 / sqm,N/A,N/A,N/A
