title,listing_url,address,price,type,bedrooms,bathrooms,floor_area,telephone,latitude,longitude
Brand new villa compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-dumistan-311206.html," Dumistan, Northern Governorate","124,000 BHD",Villa,4,5,297 / sqm,+97332213116,26.12377,50.469722
bright 2bedrooms w/sea view & big balcony,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-285453.html," The Treasure, Dilmunia Island, Muharraq Governorate","165,000 BHD",Apartment,2,4,193 / sqm,+97332200330,26.272868,50.67289
2 Bedroom Apartment at Hidd Oasis,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-305608.html," Hidd, Muharraq Governorate","50,000 BHD",Apartment,2,3,102 / sqm,+97336625301,26.212634,50.674188
Affordable 2 Bedroom Apartment at Hidd,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-306759.html," Hidd, Muharraq Governorate","50,000 BHD",Apartment,2,3,102 / sqm,+97336625301,26.212634,50.674188
Modern 3 BR Apartment w/ Maid's Room at Hidd,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-306762.html," Hidd, Muharraq Governorate","78,000 BHD",Apartment,3,5,160 / sqm,+97336625301,26.212634,50.674188
-Villa for sale in a great location in Saar,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-304207.html," Saar, Northern Governorate","360,000 BHD",Villa,5,6,523 / sqm,+97333944584,26.191642,50.487574
BARGAIN !! WELL FURNISHED - BALCONY OPEN SEA,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-316776.html," Seef, Capital Governorate","90,000 BHD",Apartment,2,2,125 / sqm,+97332200078,26.24,50.537
Rented to Navy Luxury 2 Bedroom Furnished,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-330343.html," Al Juffair, Capital Governorate","116,000 BHD",Apartment,2,4,116 / sqm,+97366720802,26.211111,50.601111
Big double storey private villa with private pool,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-334962.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","250,000 BHD",Villa,6,6,625 / sqm,+97333184488,26.29303,50.66474
Beautiful three bedroom apartment with maid-room,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-335495.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","80,000 BHD",Apartment,3,3,216 / sqm,+97333164448,26.29303,50.66474
Sea View Balcony only with GFH 5yrs Plan,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-312568.html," Bahrain Financial Harbour, Manama, Capital Governorate","84,973 BHD",Apartment,1,2,84 / sqm,+97333302929,26.237786,50.573424
Luxury 1 BR Apartment 5yr payment plan,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-312552.html," Bahrain Financial Harbour, Manama, Capital Governorate","93,973 BHD",Apartment,1,2,75 / sqm,+97332320025,26.237786,50.573424
"فلل للسكن الإجتماعي بأسعار تبدأ من 88,000",https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-al-markh-309845.html," Al Markh, Northern Governorate","88,000 BHD",Villa,3,3,148 / sqm,+97338866603,26.201355,50.479868
BARGAIN !! WELL FURNISHED - RENTED- SEA VIEW,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-318235.html," Sanabis, Manama, Capital Governorate","54,000 BHD",Apartment,1,2,70 / sqm,+97332200078,26.226559,50.54591
Luxurious 5BR Villa in Riffa Views with Pool,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-315297.html," Riffa Views, Riffa, Southern Governorate","285,000 BHD",Villa,5,6,642 / sqm,+97332225521,26.097334,50.567365
Gorgeous Luxury Villa W Pool & Private Jetty,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-330785.html," Durrat Al Bahrain, Southern Governorate","225,000 BHD",Villa,5,5,500 / sqm,+97339999159,25.833926,50.613853
Villa available for Rent in Al Malikiyah area,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-malkiyah-328732.html," Malkiyah, Northern Governorate","120,000 BHD",Villa,4,4,400 / sqm,+97336022209,26.10086,50.488009
Luxurious 3BR Apartment  - Waterbay,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-313838.html," Bahrain Bay, Capital Governorate","315,000 BHD",Apartment,3,3,222 / sqm,+97338000002,26.249585,50.580361
Semi Attach Villa W/ Balconies N/ Garden,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-310378.html," Saar, Northern Governorate","195,000 BHD",Villa,4,5,262 / sqm,+97338335516,26.191642,50.487574
Urban living Business Friendly apartments in Seef,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-310202.html," Seef, Capital Governorate","58,500 BHD",Apartment,1,1,64 / sqm,N/A,N/A,N/A
Brand New Villa For Sale Prime Location!,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-hidd-324121.html," Hidd, Muharraq Governorate","149,000 BHD",Villa,5,6,207 / sqm,+97336504499,26.212634,50.674188
Land For Sale In West Eker             .,https://www.propertyfinder.bh/en/buy/land-for-sale-central-governorate-eker-313813.html," Eker, Central Governorate","82,000 BHD",Land,N/A,N/A,343 / sqm,+97339465789,26.143689,50.602974
The Courtyard luxury residential unit for sale,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-322789.html," Seef, Capital Governorate","62,500 BHD",Apartment,1,2,71 / sqm,+97333537117,26.24,50.537
A distinctive modern design villa in Saar!,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-319575.html," Saar, Northern Governorate","240,000 BHD",Villa,5,6,388 / sqm,+97333944584,26.191642,50.487574
"Hurry up , the last apartment at this price !",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-318420.html," Al Juffair, Capital Governorate","75,000 BHD",Apartment,2,2,118 / sqm,+97333440279,26.211111,50.601111
Sea View Studio At The Heart Of Bahrain Bay,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-299656.html," Bahrain Bay, Capital Governorate","59,000 BHD",Apartment,studio,1,50 / sqm,N/A,N/A,N/A
Best 800m Durrat Al Bahrain jetty Villa,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-324995.html," Durrat Al Bahrain, Southern Governorate","310,000 BHD",Villa,5,7,800 / sqm,N/A,N/A,N/A
NEW BRIGHT SPACIOUS VILLA @ DIYAR PHASE 2,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-residences-322488.html," Marassi Residences, Diyar Al Muharraq, Muharraq Governorate","157,000 BHD",Villa,5,6,330 / sqm,N/A,N/A,N/A
*Rented Flat / FULLY FURNISHED / BEST PRICE,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-manama-sea-front-322955.html," Manama Sea Front, Manama, Capital Governorate","115,000 BHD",Apartment,2,3,129 / sqm,+97332200081,26.248121,50.570444
Fabulous villa in Saar 2Floor plan,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-324170.html," Saar, Northern Governorate","175,000 BHD",Villa,4,5,408 / sqm,+97334657084,26.191642,50.487574
**buy a property with monthly income ***,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-321948.html," Al Juffair, Capital Governorate","34,000 BHD",Apartment,studio,1,40 / sqm,N/A,N/A,N/A
Gorgeous beach access villa with jetty parking,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-334957.html," Durrat Al Bahrain, Southern Governorate","250,000 BHD",Villa,3,4,500 / sqm,+97333216444,25.833926,50.613853
Sky and Luxury 3 Bedrooms+Maid Signature,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-314144.html," Bahrain Bay, Capital Governorate","219,000 BHD",Apartment,3,5,219 / sqm,+97332169858,26.249585,50.580361
Brand New 4 bedrrom Apartment For sale with Store,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-322025.html," Hidd, Muharraq Governorate","73,000 BHD",Apartment,4,5,171 / sqm,N/A,N/A,N/A
"Four Bedroom freehold villa for sale, amazing view",https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-229100.html," Riffa Views, Riffa, Southern Governorate","269,000 BHD",Villa,4,3,642 / sqm,N/A,N/A,N/A
Free Hold Villas  in Diary Al-muharraq .,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-290608.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","141,600 BHD",Villa,3,4,269 / sqm,N/A,N/A,N/A
Amazing offer!! Balcony & full Sea view,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-334752.html," The Lagoon, Amwaj Islands, Muharraq Governorate","88,000 BHD",Apartment,2,3,144 / sqm,+97336503388,26.287778,50.663393
Freehold Luxurious 4BR Villa in Diyar  Muharraq,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-329760.html," Al Sidra, Diyar Al Muharraq, Muharraq Governorate","172,500 BHD",Villa,4,4,210 / sqm,+97338000002,26.311422,50.643066
Beach Access +Balcony+ 0% Commission,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-332608.html," Seef, Capital Governorate","33,700 BHD",Apartment,studio,1,43 / sqm,+97336631525,26.24,50.537
SPECIAL OFFER * RENTED* NEAR KHUH & RCSI,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-295707.html," Busaiteen, Muharraq Governorate","33,300 BHD",Apartment,studio,1,43 / sqm,N/A,N/A,N/A
Amazing investment opportunity,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-282772.html," Al Juffair, Capital Governorate","50,000 BHD",Apartment,1,1,65 / sqm,N/A,N/A,N/A
Villa Fayrooz 800 in Durrat Al Bahrain,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-332518.html," Durrat Al Bahrain, Southern Governorate","310,000 BHD",Villa,5,7+,800 / sqm,+97339444705,25.833926,50.613853
للبيع فيلا فخمة و راقية في امواج,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-333275.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","300,000 BHD",Villa,7,7,410 / sqm,+97338302990,26.29303,50.66474
April Offer! 20% Down Payment+Marina View+ Balcony,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-330427.html," Reef Island, Capital Governorate","67,500 BHD",Apartment,1,2,85 / sqm,+97333506000,26.241751,50.566394
Brand new apartment compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-311196.html," Janabiya, Northern Governorate","79,000 BHD",Apartment,3,2,159 / sqm,+97332213116,26.185943,50.467114
"Attractive ,Huge and Grand , Available for sale",https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-327420.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","240,000 BHD",Villa,7,7+,625 / sqm,+97338335556,26.29303,50.66474
Brand new villa compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-saar-311209.html," Saar, Northern Governorate","63,000 BHD",Apartment,3,3,139 / sqm,+97332213116,26.191642,50.487574
Hot Deal on a Full Sea View 2 Bedroom!,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-297082.html," Seef, Capital Governorate","93,000 BHD",Apartment,2,2,120 / sqm,N/A,N/A,N/A
Brand new villa Compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-al-maqsha-333586.html," Al Maqsha, Northern Governorate","120,000 BHD",Villa,4,5,267 / sqm,N/A,N/A,N/A
Luxury apartment for sale - Flexible payment plans,https://www.propertyfinder.bh/en/buy/apartment-for-sale-southern-governorate-durrat-marina-267827.html," Durrat Marina, Southern Governorate","98,130 BHD",Apartment,2,3,167 / sqm,N/A,N/A,N/A
Hot Deal!! Brand New 2BR for Sale in Amwaj,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-308192.html," Amwaj Avenue, Amwaj Islands, Muharraq Governorate","48,000 BHD",Apartment,2,2,100 / sqm,+97333007043,26.29303,50.66474
Fully Furnished Apartment for sale in Saar,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-312515.html," Janabiya, Northern Governorate","79,000 BHD",Apartment,3,2,160 / sqm,N/A,N/A,N/A
Brand new villa Compatible with Mazaya program,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-al-qurayyah-313857.html," Al Qurayyah, Northern Governorate","130,000 BHD",Villa,3,4,320 / sqm,N/A,N/A,N/A
Spacious 5 Bedroom Villa in Northern Riffa,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-north-riffa-325851.html," North Riffa, Riffa, Southern Governorate","250,000 BHD",Villa,5,6,300 / sqm,+97339999159,26.143958,50.547141
Hot Offer! Free Hold High Income Studio!,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-322588.html," Al Juffair, Capital Governorate","30,000 BHD",Apartment,studio,1,49 / sqm,+97338335516,26.211111,50.601111
Luxurious 1BR Waterbay Residence in  Bahrain Bay,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-266849.html," Bahrain Bay, Capital Governorate","128,300 BHD",Apartment,1,2,81 / sqm,+97338000002,26.249585,50.580361
Luxury and Elegant 3 Bedroom - Furnished,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-330346.html," Al Juffair, Capital Governorate","140,000 BHD",Apartment,3,4,198 / sqm,+97332169858,26.211111,50.601111
1 Bedroom apartment with beautiful views & Pool,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-316072.html," Al Juffair, Capital Governorate","55,000 BHD",Apartment,1,2,114 / sqm,+97332210217,26.211111,50.601111
Brand new villa with garden & prime location,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-hamala-315974.html," Hamala, Northern Governorate","148,000 BHD",Villa,4,5,200 / sqm,+97332213116,26.140337,50.478272
Super Hot Deal! Studio Fully Furnished for Sale,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-315170.html," Busaiteen, Muharraq Governorate","32,999 BHD",Apartment,studio,1,60 / sqm,+97333007043,26.272,50.609
Brand New Sea Front Villa in Durrat Al Bahrain,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-322627.html," Durrat Al Bahrain, Southern Governorate","290,000 BHD",Villa,5,6,"1,000 / sqm",+97339444705,25.833926,50.613853
"Beach Access,0% Commission,Under Construction,",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-323660.html," Seef, Capital Governorate","69,000 BHD",Apartment,2,2,109 / sqm,+97336631525,26.24,50.537
Glass railing Stair and light Marble Floor,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-245435.html," Saar, Northern Governorate","229,000 BHD",Villa,5,5,393 / sqm,+97336744755,26.191642,50.487574
"1 bedroom, good income,huge Pool,GYM,Game",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-306791.html," Al Juffair, Capital Governorate","54,000 BHD",Apartment,1,2,76 / sqm,+97332200330,26.211111,50.601111
Brand New-Ready Now-Lg 1 Bed-Sea View-Sanabis/Seef,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-318923.html," Seef, Capital Governorate","56,100 BHD",Apartment,1,2,86 / sqm,+97336111903,26.24,50.537
Luxury and Elegant 1 Bedroom w/ sea view,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-314148.html," Bahrain Bay, Capital Governorate","79,500 BHD",Apartment,1,2,79 / sqm,+97366720802,26.249585,50.580361
FF Studio Apartment For Sale In Juffair,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-323466.html," Al Juffair, Capital Governorate","33,750 BHD",Apartment,studio,1,40 / sqm,+97333400879,26.211111,50.601111
Residential land for sale located in Janabiya area,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-janabiya-314353.html," Janabiya, Northern Governorate","106,000 BHD",Land,N/A,N/A,361 / sqm,+97336503399,26.185943,50.467114
RAMADAN OFFER ONLY 79k IN REEF ISLAND,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-334611.html," Reef Island, Capital Governorate","79,000 BHD",Apartment,1,2,83 / sqm,+97336111021,26.241751,50.566394
Limited Offer| 20% down payments| Marina View Apt.,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-330385.html," Reef Island, Capital Governorate","95,200 BHD",Apartment,2,3,130 / sqm,+97333506000,26.241751,50.566394
Live in this cosy 2BR & Pay over 5 Years,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-262153.html," Bahrain Financial Harbour, Manama, Capital Governorate","176,973 BHD",Apartment,2,3,143 / sqm,+97332222113,26.237786,50.573424
FF Studio Apartment For Sale In Juffair,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-323464.html," Al Juffair, Capital Governorate","32,000 BHD",Apartment,studio,1,37 / sqm,+97333400185,26.211111,50.601111
The Courtyard flats connected to cafes & rest,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-322793.html," Seef, Capital Governorate","58,500 BHD",Apartment,1,1,64 / sqm,N/A,N/A,N/A
Fine Balance of Leisure & Entertainment!,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-77954.html," Seef, Capital Governorate","69,000 BHD",Apartment,1,1,78 / sqm,N/A,N/A,N/A
Fully Furnished 1-bedroom in Seef Opp. City Centre,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-302527.html," Seef, Capital Governorate","83,544 BHD",Apartment,1,2,69 / sqm,N/A,N/A,N/A
Luxury apartment for sale in Durrat Marina,https://www.propertyfinder.bh/en/buy/apartment-for-sale-southern-governorate-durrat-marina-267546.html," Durrat Marina, Southern Governorate","80,752 BHD",Apartment,2,3,135 / sqm,N/A,N/A,N/A
TheCourtyard luxury 2BR connected to cafe&rest,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-322784.html," Seef, Capital Governorate","104,000 BHD",Apartment,2,3,130 / sqm,N/A,N/A,N/A
